nama_pemain,klub,posisi,umur,market_value,negara,jumlah_goal,jumlah_asis,jumlah_match
Giorgi Mamardashvili,Liverpool,Kiper,N/A,"Rp486,69Mlyr.",Georgia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Alisson,Liverpool,Kiper,N/A,"Rp347,63Mlyr.",Brasil,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Freddie Woodman,Liverpool,Kiper,N/A,"Rp60,84Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Ibrahima Konaté,Liverpool,Bek-Tengah,N/A,"Rp955,99Mlyr.",Prancis,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Giovanni Leoni,Liverpool,Bek-Tengah,N/A,"Rp434,54Mlyr.",Italia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Virgil van Dijk,Liverpool,Bek-Tengah,N/A,"Rp399,78Mlyr.",Belanda,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Joe Gomez,Liverpool,Bek-Tengah,N/A,"Rp312,87Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Rhys Williams,Liverpool,Bek-Tengah,N/A,"Rp12,17Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Milos Kerkez,Liverpool,Bek-Kiri,N/A,"Rp782,17Mlyr.",Hungaria,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Andrew Robertson,Liverpool,Bek-Kiri,N/A,"Rp260,72Mlyr.",Skotlandia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Jeremie Frimpong,Liverpool,Bek-Kanan,N/A,"Rp782,17Mlyr.",Belanda,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Conor Bradley,Liverpool,Bek-Kanan,N/A,"Rp521,45Mlyr.",Irlandia Utara,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Ryan Gravenberch,Liverpool,Gel. Bertahan,N/A,"Rp1.564,35Mlyr.",Belanda,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Stefan Bajcetic,Liverpool,Gel. Bertahan,N/A,"Rp156,43Mlyr.",Spanyol,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Wataru Endo,Liverpool,Gel. Bertahan,N/A,"Rp139,05Mlyr.",Jepang,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Alexis Mac Allister,Liverpool,Gel. Tengah,N/A,"Rp1.738,16Mlyr.",Argentina,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Curtis Jones,Liverpool,Gel. Tengah,N/A,"Rp782,17Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Trey Nyoni,Liverpool,Gel. Tengah,N/A,"Rp104,29Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Florian Wirtz,Liverpool,Gel. Serang,N/A,"Rp2.259,61Mlyr.",Jerman,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Dominik Szoboszlai,Liverpool,Gel. Serang,N/A,"Rp1.477,44Mlyr.",Hungaria,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Cody Gakpo,Liverpool,Sayap Kiri,N/A,"Rp1.216,71Mlyr.",Belanda,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Rio Ngumoha,Liverpool,Sayap Kiri,N/A,"Rp260,72Mlyr.",Prancis,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Mohamed Salah,Liverpool,Sayap Kanan,N/A,"Rp782,17Mlyr.",Mesir,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Federico Chiesa,Liverpool,Sayap Kanan,N/A,"Rp312,87Mlyr.",Italia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Alexander Isak,Liverpool,Depan-Tengah,N/A,"Rp2.433,43Mlyr.",Swedia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Hugo Ekitiké,Liverpool,Depan-Tengah,N/A,"Rp1.477,44Mlyr.",Prancis,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
